,0
0,3.0
1,3.799999952316284
2,4.699999809265137
3,6.0
4,6.5
5,12.5
6,17.0
7,17.899999618530273
8,17.899999618530273
9,18.600000381469727
10,24.899999618530273
11,25.799999237060547
12,27.299999237060547
13,27.799999237060547
14,29.5
15,39.79999923706055
16,49.599998474121094
17,57.0
18,78.0999984741211
19,82.0
20,85.0
21,96.0
22,130.89999389648438
23,167.10000610351562
24,179.89999389648438
25,186.3000030517578
26,187.39999389648438
27,190.0
28,196.1999969482422
29,196.3000030517578
30,208.8000030517578
31,218.5
32,220.0
33,221.5
34,227.8000030517578
35,229.60000610351562
36,232.5
37,257.6000061035156
38,259.3999938964844
39,318.3999938964844
40,320.1000061035156
41,322.6000061035156
42,337.1000061035156
43,355.3999938964844
